865983024172281,23710
862096025408514,14121
866475021348245,87330
355848068291635,31097
866288020685339,10291
7FBF6871-EE91-459B-987A-6FC303806025,44128
868685028650389,84816
863890029371291,74167
352173062488191,34591
352729060346408,80911
866486028404253,57178
AB473B5D-3710-411F-81E7-8831012E93A9,26355
868090024220834,72182
865855024801756,51132
860514031178279,88583
868146025628373,58398
A000004F553FC4,31798
860708035093134,265
868024024300783,51928
868682020641987,82788
A000005551F86B,38558
860316032846627,17881
b6212933-24b6-4f9b-b304-cedc3ec09acc,12752
861379036513964,71631
868404027588487,6268
A0000055FCF4CA,24811
867097024074047,28954
355060061748591,29979
A0000059299EB5,40132
867514024630859,76621
868529020369400,51058
863498020017622,25076
a000005e0a327c,56333
866691020095583,3805
867677027706420,28548
862963035607429,90003
867582021802292,32864
A1000047EE0687,83467
2be71239-fd8d-46c1-b019-5facd6f1424e,31663
868897023895469,59232
867486020159334,14716
0,5367
865401023851326,72409
A1000047DBD65D,34593
71B1C8CD-A867-40C8-A29A-492FBCF9B031,11697
867885021326950,50910
355698060992122,76593
A00000552449D6,462
865473026160229,88118
864783023416551,39664
865267021878342,77325
359950063190014,88841
860482037892220,77385
868930026110485,62627
F65D25DF-64CE-474E-A869-C558645BDC18,48173
868403025286136,48645
A000005593CF48,27971
865175023262656,29944
73227D4F-DF10-4DA8-B236-85732A58E964,27713
867026025888212,9806
860241034302801,10376
865223020066561,8877
867527021276047,58999
867106021958332,25578
093230983698342,35562
863597021504916,60069
99000579820644,80931
867332025008789,53506
99000694367092,19764
860671027643714,11807
99000645228984,14547
867922028893003,15212
A000005E8D0220,73560
861066020031661,73139
863473027564710,13771
868447020096909,42438
868617028525899,73493
355698062342458,12571
864738020356465,9222
A1000047E31049,76258
355066061592665,57328
865119028644088,47510
866760020369890,1988
acb33464-7fe7-4d2f-9fe0-2269b6e5b79d,8058
866512027863130,32446
A000004838AFF1,25707
A10000431153E1,69272
868808021300824,23775
869911021294754,77002
23806B50-D6D5-4B72-8FA7-536221B0E4FD,21219
354779061228392,81754
867427022354655,32270
860778033081936,29103
358584059267915,64923
357095063663867,29306
047967676462331,18230
868291022403527,78190
A1000031077ADD,20535
866304028887106,51661
99000556119349,32096
BB1073A2-56AE-4AA6-9269-5F52408B3B89,69034
866963025375272,83794
869999026548746,89332
a0000055a61f4d,73913
860269034915355,65232
867098020592750,86673
865577021956405,44162
A0000055499242,5516
355637054770466,34719
99000477274214,72888
354910070847175,68429
A100004368F3FF,68601
23EFB937-1BF4-4CBC-AF96-BC0143587F0D,19926
867097029828074,53709
99000468192893,22926
868403025809572,5147
A1000047E2FE68,25419
f8b1908b-012a-4862-97df-0fadb01f560b,28070
869954026242642,6904
A00000559ED3F8,85879
354779069520287,73713
866693023675254,8184
861717031615302,55306
355698064082060,8506
869841023983601,70822
863846020642270,64287
865174021543027,5161
869609024054718,36894
111FD0C3-3C13-4AB8-8A20-F3DF47A6A499,70876
351662061467348,71532
865783029135824,17732
A000005E157586,14637
352107066116515,1125
866673020301716,17106
A0000055FC3D5E,58611
357748051244997,59697
352315054375296,67152
867921029979225,56660
860765030435249,79927
867886021258672,32126
863082020528323,38076
866333026234227,76300
354710052609068,71971
A00000563F73F2,56822
357566061929427,37800
865085025547691,40447
865728022831143,44875
866798021384898,82761
35460207441578,19191
868734025393542,15590
862302020285463,18680
861136039339098,24995
868746022018922,76816
869070020044973,71078
869634023451954,66144
860485036927806,87601
866102028344106,18530
A000004F3F70C6,78787
146901283277063,40067
99000628959557,46996
99000556022489,61400
3ab47f42-4adb-4b4a-9c6c-cd81aac473f3,9696
868795022419184,61626
A100004D068649,15372
866625025085777,81841
813898b3-33b8-4b7f-94ca-e6429f9a0578,4321
869460010217855,71262
A0000044A3A9C7,33915
5c64f69d-ddd6-44be-aa9f-929535d02aea,55835
864590029731200,49993
861402033991916,76497
869834020304178,6415
866192029861471,13693
355533054910030,29903
866165023030871,36000
864690027185191,72791
860138032699834,11558
869070028045683,55012
73ec0060-ba89-4c5b-83db-4afc4bff376d,32523
869608024219735,84624
A00000563C1204,79249
866042023934248,23706
864178027894855,68913
352956068113486,13115
b5189adb-abe7-4e19-b66c-c7caaae7e66a,2554
358263053949733,72433
865479025682253,53863
866288022856474,64355
358142037052592,3886
935733be-f715-4ee2-9d8d-c810120ab1a6,16594
